"Id";"Référence";"Boitier";"Quantité";"Désignation";"Fournisseur et réf.";
1;"Q4";"SOT-23_MOS_P";1;"SI2319DS";;;
2;"P3";"Pin_Header_Straight_1x05_Pitch2.54mm";1;"FTDI";;;
3;"P1";"Connectors-2560-core";1;"2560-core";;;
4;"U4";"Pm5033_sil5";1;"PM5033";;;
5;"R22";"R_1206";1;"8,2K";;;
6;"D4,D3,D2,D1";"D_SOD-123";4;"LL4148";;;
7;"P30";"MiniDCDC3A";1;"MiniDCDC3A";;;
8;"P15";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"DUMMY";;;
9;"P8";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Audio";;;
10;"C2,C10,C1,C31,C38,C5,C22,C23,C19,C12,C13,C11,C17,C16,C9,C33,C34,C29,C27,C26,C15,C21,C20,C14,C18,C3,C4,C6";"C_1206";28;"100nF";;;
11;"Q2";"SOT-23";1;"MMBT2222ALT1";;;
12;"R7,R19";"R_1206";2;"220";;;
13;"U3,U2,U1";"SOT-457";3;"74LVC1G3157GV";;;
14;"P33";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"5V_CODERS";;;
15;"R18,R8";"R_1206";2;"200";;;
16;"R10,R40";"R_1206";2;"100";;;
17;"Fix1,Fix1,Fix1";"MountingHole_3.2mm_M3";3;"MountingHole_3.2mm_M3";;;
18;"R2,R1";"R_1206";2;"5,1K";;;
19;"Q1";"SOT-23_MOS_P";1;"IRLML5203";;;
20;"R5,R6";"R_1206";2;"4K7";;;
21;"R41";"R_1206";1;"33K";;;
22;"R43";"R_1206";1;"10K";;;
23;"R16";"R_1206";1;"2.7K";;;
24;"R17";"R_1206";1;"5.1K";;;
25;"R42";"R_1206";1;"100K";;;
26;"U5";"SOT-223";1;"LD1117S33TR";;;
27;"D6";"D_SOD-123";1;"MBR0520";;;
28;"P7";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"SPIX";;;
29;"P22";"connector_mini-JQ6500-28P";1;"JQ6500_28P";;;
30;"R20,R15,R9";"R_1206";3;"10K";;;
31;"R35,R32,R29,R26,R39";"R_1206";5;"47K";;;
32;"R34,R31,R11,R28,R12,R13,R37,R14";"R_1206";8;"120K";;;
33;"C45,C44,C43,C46";"C_1206";4;"22nF";;;
34;"C42";"C_1206";1;"6.8nF";;;
35;"P24";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Rot_2";;;
36;"P23";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Rot_1";;;
37;"P5";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Vibreur";;;
38;"P10";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"RX1TX1";;;
39;"P18";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Ecolage";;;
40;"P2";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"LCD_I2C";;;
41;"P20";"Con_RS232_TTL";1;"TTL/RS232";;;
42;"P21";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Sw_power";;;
43;"P17";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"BATT";;;
44;"P6";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"Micro_sd";;;
45;"U8";"SO-16-DS3231";1;"DS3231SN";;;
46;"BT1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"CR2032";;;
47;"R3";"R_1206";1;"18K";;;
48;"U7";"SOIC-8-FRAM_DI";1;"FM24W256";;;
49;"R4";"R_1206";1;"1K";;;
50;"P28";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"5v/3,3v manches";;;
51;"P13";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"Stick_right";;;
52;"P12";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"Stick_left";;;
53;"R25,R24";"R_1206";2;"39K";;;
54;"P16";"Pin_Header_Straight_2x10_Pitch2.54mm";1;"LCD";;;
55;"P32";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Pot1";;;
56;"P31";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Pot2";;;
57;"P4";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Pot3";;;
58;"P26";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"LCD_Alim";;;
59;"RV1";"Potentiometer_Trimmer_Bourns_3296W";1;"10K";;;
60;"P9";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"SPI";;;
61;"RV5,RV4,RV3,RV2";"Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";4;"100K";;;
62;"R36,R33,R30,R27";"Potentiometer_Trimmer_Bourns_3296W";4;"100K";;;
63;"RV6";"Potentiometer_Trimmer_Bourns_3296W";1;"1K";;;
64;"P25";"Pin_Header_Straight_2x04_Pitch2.54mm";1;"Keys";;;
65;"P11";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"Trim";;;
66;"P14";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"Switch";;;
67;"W1,W2,W3,W4";"TESTPT";4;"TEST_2P";;;
68;"P19";"Pin_Header_Straight_2x04_Pitch2.54mm";1;"Module_TX";;;
69;"C28,C7";"CP_Elec_6.3x5.3";2;"100µF";;;
70;"C8";"CP_Elec_6.3x5.3";1;"47µF";;;
71;"U6";"SOP14_MCP60004";1;"MCP6004";;;
72;"Q3";"SOT-23_MMBT2222";1;"MMBT2222ALT1";;;
