Gear up;Gear  up
free 419;free 419
free 420;free 420
free 421;free 421
free 422;free 422
free 423;free 423
free 424;free 424
free 425;free 425
free 426;free 426
free 427;free 427
free 428;free 428
free 429;free 429
free 430;free 430
free 431;free 431
free 432;free 432
free 433;free 433
free 434;free 434
free 435;free 435
.0;point 0
.1;point 1
.2;point 2
.3;point 3
.4;point 4
.5;point 5
.6;point 6
.7;point 7
.8;point 8
.9;point- 9
free 446;free 446
free 447;free 447
free 448;free 448
free 449;free 449
free 450;free 450
free 451;free 451
free 452;free 452
free 453;free 453
free 454;free 454
free 455;free 455
free 456;free 456
free 457;free 457
free 458;free 458
free 459;free 459
free 460;free 460
free 461;free 461
free 462;free 462
free 463;free 463
free 464;free 464
free 465;free 465
free 466;free 466
free 467;free 467
free 468;free 468
free 469;free 469
free 470;free 470
free 471;free 471
free 472;free 472
free 473;free 473
free 474;free 474
free 475;free 475
free 476;free 476
free 477;free 477
free 478;free 478
free 479;free 479
Welcome;Welcome to Open -AV Rc
Throttle warning;Throttle warning
Switch warning;Switch warning
EEPROM corrupt;EEPROM corrupt
Bad  EEPROM;Bad EEPROM
Battery low;Battery low
Radio inactive;Radio inactive
Error;Error
free 488;free 488
Memory low;Memory low
free 490;free 490
free 491;free 491
free 492;free 492
free 493;free 493
free 494;free 494
free 495;free 495
free 496;free 496
free 497;free 497
free 498;free 498
free 499;free 499
free 500;free 500
free 501;free 501
20 seconds;20 seconds
30 seconds;30 seconds
free 504;free 504
free 505;free 505
free 506;free 506
free 507;free 507
model is on;model is on
free 509;free 509
telemetry active;telemetry active
telemetry loss;telemetry loss
