"0000;Tren arriba;tren arriba",
"0201;libre 201;libre 201",
"0202;libre 202;libre 202",
"0203;libre 203;libre 203",
"0204;libre 204;libre 204",
"0205;libre 205;libre 205",
"0206;libre 206;libre 206",
"0207;libre 207;libre 207",
"0208;libre 208;libre 208",
"0209;libre 209;libre 209",
"0210;libre 210;libre 210",
"0211;libre 211;libre 211",
"0212;libre 212;libre 212",
"0213;libre 213;libre 213",
"0214;libre 214;libre 214",
"0215;libre 215;libre 215",
"0216;libre 216;libre 216",
"0217;libre 217;libre 217",
"0218;libre 218;libre 218",
"0219;libre 219;libre 219",
"0220;libre 220;libre 220",
"0221;libre 221;libre 221",
"0222;libre 222;libre 222",
"0223;libre 223;libre 223",
"0224;libre 224;libre 224",
"0225;libre 225;libre 225",
"0226;libre 226;libre 226",
"0227;libre 227;libre 227",
"0228;libre 228;libre 228",
"0229;libre 229;libre 229",
"0230;libre 230;libre 230",
"0231;libre 231;libre 231",
"0232;libre 232;libre 232",
"0233;libre 233;libre 233",
"0234;libre 234;libre 234",
"0235;libre 235;libre 235",
"0236;libre 236;libre 236",
"0237;libre 237;libre 237",
"0238;libre 238;libre 238",
"0239;libre 239;libre 239",
"0240;libre 240;libre 240",
"0241;libre 241;libre 241",
"0242;libre 242;libre 242",
"0243;libre 243;libre 243",
"0244;libre 244;libre 244",
"0245;libre 245;libre 245",
"0246;libre 246;libre 246",
"0247;libre 247;libre 247",
"0248;libre 248;libre 248",
"0249;libre 249;libre 249",
"0250;libre 250;libre 250",
"0251;libre 251;libre 251",
"0252;libre 252;libre 252",
"0253;libre 253;libre 253",
"0254;libre 254;libre 254",
"0255;libre 255;libre 255",
