"Id";"Référence";"Boitier";"Quantité";"Désignation";"Fournisseur et réf.";
1;"P10";"Pin_Header_Straight_1x09_Pitch2.54mm";1;"OUTPUT_1X8_GND";;;
2;"P7";"Pin_Header_Straight_1x09_Pitch2.54mm";1;"OUTPUT_1X8_ALIM";;;
3;"IC1";"DIP-14_W7.62mm_LongPads";1;"ATTINY84-P";;;
4;"P6";"Faston_V-5_08";1;"VExt";;;
5;"P5";"Pin_Header_Straight_1x09_Pitch2.54mm";1;"OUTPUT_1X8";;;
6;"X1";"HC-39";1;"16Mhz";;;
7;"C1";"C_1206";1;"100nF";;;
8;"C2,C3";"C_1206";2;"22pF";;;
9;"D1";"LED_1206";1;"LED";;;
10;"R2";"R_1206";1;"330";;;
11;"IC2";"DIP-18_W7.62mm_LongPads";1;"ULN2803";;;
12;"P1";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"+V=VRx / +V<VRx";;;
13;"P2";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"XANY_INPUT";;;
14;"P3";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"SERVO";;;
15;"P4";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"DIODE";;;
16;"R1";"R_1206";1;"1K";;;
17;"D2,D3";"D_SOD-123";2;"LL4148";;;
18;"P8";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"SEL_ALIM";;;
19;"R3";"R_1206";1;"100";;;
20;"R4,R6,R7,R8,R9,R10,R11,R12,R13";"R_1206";9;"10K";;;
21;"P9";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"FTDI";;;
22;"R5";"R_1206";1;"1M";;;
